Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base,0.0993589953258177,-0.000347868138743462,-0.0602742254852854,0,0,0,3.97313018531124,0.00637855131105595,-1.15126648629862E-05,-5.02562785935659E-07,0.0118209982431551,5.32413944135504E-08,0.0140356763931381,0,0,0,0,0,0,package://UIKA/meshes/base.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://UIKA/meshes/base.STL,,髋关节固定板-1;髋关节固定板-2;RS02电机-7;底板-1;顶板-1;侧板-3;侧板-4;补强-1;补强-2;补强-3;补强-4;打印后-1;RS02电机-1;RS02电机-10;RS02电机-4;打印前-2;不知道什么东西-1;不知道什么东西-2;mid360保护壳-1;3D模型-D435_Solid-1;狗头-2;合页一-1;合页-1;合页二-2;不知道什么东西-5;不知道什么东西-6;固定条-8;固定条-9;配重-1;合页二-3;合页一-2;固定条-10;固定条-11;固定条-12;固定条-13;固定条-14;固定条-15,base-c,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
FL_hip,0.0415030017853425,0.00817193653082768,0.00860885998023001,0,0,0,0.216423841460814,9.65881811233243E-05,-2.93929139781702E-07,8.78952020313972E-07,0.000120306403389461,3.99792922819771E-05,0.000119155984325777,0,0,0,0,0,0,package://UIKA/meshes/FL_hip.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://UIKA/meshes/FL_hip.STL,,髋关节电机固定件底-2;M3 10 10 10六面螺母-5;M3 10 10 10六面螺母-6;M3 10 10 10六面螺母-7;M3 10 10 10六面螺母-8;髋关节电机固定件后-2;髋关节电机固定件前-2;RS02电机-5;关节小腿电机连接件-2;RS02电机-6,F-L-1-c,F-L-1-axi,FL_hip_joint,revolute,0.153000439855044,0.0600003842452415,-0.0600006101205791,0,0,0,base,1,0,0,6.5,0.22,-1.57,1.57,,,,,,,,
FL_thigh,-0.0535775244580455,0.0350832915184582,-0.0163587879417473,0,0,0,0.47644925424434,0.000736091076820567,0.000474480715652284,-0.000489193112838281,0.00147567752760741,0.000361125231600005,0.00145431914735899,0,0,0,0,0,0,package://UIKA/meshes/FL_thigh.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://UIKA/meshes/FL_thigh.STL,,F686ZZ-26;销钉6X20-12;小腿关节安装轴-2;大腿对边外侧-3;大腿对边内侧-3;大腿填充-2;主动齿轮安装座-2;齿轮15×1.5-2;齿轮28×1.5-2;从动齿轮固定座-2;F686ZZ-23;F695ZZ-11;F695ZZ-12;5x26光轴-6;从动齿轮固定座对侧-2;连杆v1-3;连杆v1-4;F686ZZ-24;销钉6X20-11,F-L-2-c,F-L-2-axi,FL_thigh_joint,revolute,0.0560002942624635,0.0483946520428511,0.0470555828957988,0,0,0,FL_hip,0,-0.716968137917879,-0.697105938298167,6.5,0.22,-0.785,0.785,,,,,,,,
FL_calf,0.0700291670932001,-0.015965855611679,-0.00222776798959823,0,0,0,0.147454254735082,1.71249419256022E-05,2.23782160544172E-05,-2.30158198355452E-05,0.000534652858433898,8.03579096025236E-06,0.000534201283236703,0,0,0,0,0,0,package://UIKA/meshes/FL_calf.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://UIKA/meshes/FL_calf.STL,,GB╱T 292-2007[锁口外圈型角接触球轴承[70000AC]71902 AC]-3;CNC腿-对侧-1;GB╱T 292-2007[锁口外圈型角接触球轴承[70000AC]71902 AC]-4;CNC腿-1,F-L-3-c,F-L-3-axi,FL_calf_joint,revolute,-0.152475747348646,0.109582492974347,-0.07397319848129,0,0,0,FL_thigh,0,0.716968137917877,0.69710593829817,6.5,0.22,-1.57,1.57,,,,,,,,
FL_foot,-0.0105383510676763,-0.00443303932993289,0.00455926040185234,0,0,0,0.0469728769806117,8.1807670917243E-06,-3.42733270176232E-07,3.52369428886274E-07,9.17858878130819E-06,5.09396022886312E-07,9.14974697782582E-06,0,0,0,0,0,0,package://UIKA/meshes/FL_foot.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://UIKA/meshes/FL_foot.STL,,仿真训练足-2,F-L-4--c,Axis_FL_foot_joint,FL_foot_joint,fixed,0.211725899509592,-0.00252783551179853,-0.0167659233263265,0,0,0,FL_calf,0,0,0,,,,,,,,,,,,
FR_hip,0.0416078227711511,-0.0104146438294053,0.0101964785626593,0,0,0,0.216424209518914,9.6047129738637E-05,-6.80396925765839E-07,-3.61654587978942E-07,0.000121442618632385,-3.96843353483965E-05,0.000118560567668354,0,0,0,0,0,0,package://UIKA/meshes/FR_hip.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://UIKA/meshes/FR_hip.STL,,髋关节电机固定件底-1;髋关节电机固定件后-1;髋关节电机固定件前-1;RS02电机-2;关节小腿电机连接件-1;RS02电机-3;M3 10 10 10六面螺母-1;M3 10 10 10六面螺母-2;M3 10 10 10六面螺母-3;M3 10 10 10六面螺母-4,F-R-1-c,F-R-1-axi,FR_hip_joint,revolute,0.153000425358075,-0.0600004472669823,-0.0600003113075975,0,0,0,base,-1,0,0,6.5,0.22,-1.57,1.57,,,,,,,,
FR_thigh,-0.0547142990756392,-0.0356584537936173,-0.0169064776984609,0,0,0,0.480745445029978,0.000735778720465278,-0.000474422893687834,-0.000489139190391194,0.00147595962640107,-0.000360959899371053,0.0014546052034389,0,0,0,0,0,0,package://UIKA/meshes/FR_thigh.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://UIKA/meshes/FR_thigh.STL,,大腿内侧-1;大腿外侧-1;主动齿轮安装座-1;齿轮15×1.5-1;F695ZZ-7;F695ZZ-8;齿轮28×1.5-1;从动齿轮固定座-1;5x26光轴-4;小腿关节安装轴-1;连杆v1-1;连杆v1-2;从动齿轮固定座对侧-1;大腿填充-1;F686ZZ-15;F686ZZ-16;销钉6X20-7;销钉6X20-8;F686ZZ-17;F686ZZ-18,F-R-2-c,F-R-2-axi,FR_thigh_joint,revolute,0.0560001425520644,-0.0483952686957443,0.047054585042635,0,0,0,FR_hip,0,-0.716968137917902,0.697105938298144,6.5,0.22,-0.785,0.785,,,,,,,,
FR_calf,0.0700291670951076,0.0159658555227684,-0.0022277679039307,0,0,0,0.147454254729014,1.71249419250584E-05,-2.23782115368963E-05,-2.30158242366176E-05,0.000534652857792563,-8.03579097836556E-06,0.000534201283824837,0,0,0,0,0,0,package://UIKA/meshes/FR_calf.STL,0.776470588235294,0.756862745098039,0.737254901960784,1,0,0,0,0,0,0,package://UIKA/meshes/FR_calf.STL,,GB╱T 292-2007[锁口外圈型角接触球轴承[70000AC]71902 AC]-1;GB╱T 292-2007[锁口外圈型角接触球轴承[70000AC]71902 AC]-2;CNC腿-2;CNC腿-对侧-2,F-R-3-c,F-R-3-axi,FR_calf_joint,revolute,-0.152475581141278,-0.109581813299707,-0.0739724994411187,0,0,0,FR_thigh,0,-0.716968137917903,0.697105938298144,6.5,0.22,-1.57,1.57,,,,,,,,
FR_foot,-0.0105383478998533,0.0044329513755467,0.00455934568546953,0,0,0,0.0469728701092625,8.18076585160247E-06,3.42605914932905E-07,3.52492481907817E-07,9.17837320460167E-06,-5.09401534560247E-07,9.14995728470506E-06,0,0,0,0,0,0,package://UIKA/meshes/FR_foot.STL,0.298039215686275,0.298039215686275,0.298039215686275,1,0,0,0,0,0,0,package://UIKA/meshes/FR_foot.STL,,仿真训练足-1,F-R-4-c,Axis_FR_foot_joint,FR_foot_joint,fixed,0.211725899509592,0.00252783231169756,-0.0167659202148746,0,0,0,FR_calf,0,0,0,,,,,,,,,,,,
BL_hip,-0.0415758519890377,0.0101366668291682,0.0104818480714982,0,0,0,0.21642389127585,9.66050136264047E-05,-5.42002776084723E-07,9.77261709034501E-07,0.000120286659593367,3.99880297356456E-05,0.000119158537333363,0,0,0,0,0,0,package://UIKA/meshes/BL_hip.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://UIKA/meshes/BL_hip.STL,,M3 10 10 10六面螺母-16;M3 10 10 10六面螺母-13;M3 10 10 10六面螺母-14;M3 10 10 10六面螺母-15;髋关节电机固定件底-4;髋关节电机固定件后-4;髋关节电机固定件前-4;RS02电机-11;关节小腿电机连接件-4;RS02电机-12,B-L-1-c,B-L-1-axi,BL_hip_joint,revolute,-0.152999574641922,0.0600000459667993,-0.0599994570016295,0,0,0,base,-1,0,0,6.5,0.22,-1.57,1.57,,,,,,,,
